iter	Passed	Remaining
173	3734	17730
174	3737	17619
175	3740	17510
176	3742	17402
177	3745	17295
178	3747	17188
179	3750	17085
180	3753	16982
181	3755	16880
182	3758	16779
183	3760	16678
184	3763	16579
185	3766	16481
186	3768	16384
187	3771	16289
188	3774	16194
189	3776	16101
190	3779	16009
191	3782	15918
192	3785	15826
193	3787	15737
194	3790	15649
195	3793	15561
196	3796	15475
197	3799	15389
198	3802	15303
199	3805	15220
200	3807	15136
201	3810	15053
202	3813	14970
203	3815	14888
204	3818	14807
205	3820	14727
206	3823	14648
207	3826	14570
208	3829	14492
209	3832	14416
210	3834	14339
211	3837	14264
212	3840	14190
213	3843	14116
214	3846	14042
215	3848	13969
216	3851	13898
217	3854	13827
218	3857	13756
219	3860	13685
220	3862	13616
221	3865	13547
222	3868	13478
223	3870	13410
224	3873	13342
225	3876	13274
226	3878	13208
227	3881	13142
228	3883	13076
229	3886	13011
230	3889	12946
231	3891	12883
232	3894	12821
233	3897	12757
234	3900	12695
235	3902	12633
236	3905	12572
237	3907	12512
238	3910	12451
239	3913	12391
240	3915	12332
241	3918	12273
242	3921	12215
243	3923	12156
244	3926	12098
245	3928	12040
246	3930	11983
247	3933	11927
248	3935	11870
249	3938	11814
250	3940	11759
251	3943	11704
252	3945	11650
253	3948	11595
254	3950	11541
255	3952	11488
256	3955	11435
257	3957	11383
258	3960	11330
259	3965	11287
260	3968	11235
261	3970	11184
262	3973	11134
263	3975	11084
264	3978	11034
265	3980	10984
266	3982	10934
267	3985	10885
268	3988	10837
269	3990	10789
270	3993	10743
271	3996	10695
272	3998	10648
273	4001	10601
274	4003	10555
275	4006	10510
276	4009	10464
277	4011	10419
278	4014	10374
279	4017	10329
280	4019	10285
281	4022	10240
282	4025	10198
283	4028	10156
284	4031	10114
285	4034	10071
286	4036	10028
287	4039	9987
288	4042	9944
289	4044	9903
290	4047	9862
291	4050	9821
292	4053	9780
293	4055	9739
294	4058	9699
295	4061	9658
296	4063	9618
297	4066	9578
298	4068	9538
299	4071	9499
300	4073	9460
301	4076	9420
302	4078	9381
303	4080	9343
304	4083	9304
305	4085	9266
306	4088	9228
307	4091	9191
308	4093	9154
309	4096	9117
310	4098	9080
311	4101	9044
312	4104	9008
313	4106	8972
314	4109	8936
315	4111	8900
316	4114	8865
317	4116	8829
318	4119	8793
319	4121	8759
320	4124	8724
321	4126	8689
322	4129	8655
323	4132	8621
324	4134	8587
325	4137	8553
326	4139	8519
327	4141	8485
328	4144	8452
329	4146	8418
330	4149	8386
331	4151	8353
332	4154	8321
333	4157	8289
334	4159	8257
335	4162	8225
336	4165	8194
337	4167	8162
338	4170	8131
339	4173	8100
340	4175	8070
341	4178	8039
342	4181	8008
343	4183	7977
344	4186	7947
345	4188	7917
346	4190	7886
347	4193	7856
348	4196	7827
349	4198	7797
350	4201	7767
351	4203	7738
352	4206	7709
353	4210	7683
354	4213	7654
355	4215	7626
356	4218	7597
357	4220	7569
358	4223	7540
359	4225	7512
360	4228	7484
361	4230	7456
362	4233	7428
363	4235	7401
364	4238	7373
365	4240	7345
366	4243	7318
367	4245	7291
368	4248	7264
369	4250	7237
370	4253	7210
371	4255	7184
372	4258	7157
373	4260	7131
374	4263	7105
375	4265	7079
376	4268	7053
377	4270	7027
378	4273	7001
379	4275	6976
380	4278	6950
381	4280	6925
382	4283	6900
383	4285	6875
384	4288	6850
385	4291	6825
386	4293	6800
387	4295	6775
388	4298	6751
389	4301	6727
390	4304	6703
391	4306	6679
392	4309	6655
393	4311	6631
394	4313	6607
395	4316	6583
396	4318	6559
397	4321	6536
398	4323	6512
399	4326	6489
400	4328	6465
401	4331	6443
402	4333	6419
403	4335	6396
404	4338	6374
405	4341	6351
406	4344	6329
407	4346	6307
408	4349	6284
409	4351	6262
410	4354	6240
411	4356	6217
412	4359	6195
413	4361	6173
414	4364	6152
415	4366	6130
416	4369	6109
417	4372	6087
418	4374	6066
419	4377	6044
420	4379	6023
421	4382	6002
422	4384	5981
423	4387	5960
424	4389	5939
425	4392	5918
426	4394	5897
427	4397	5876
428	4399	5855
429	4402	5835
430	4404	5814
431	4407	5794
432	4409	5774
433	4412	5754
434	4414	5734
435	4417	5714
436	4420	5694
437	4422	5674
438	4424	5654
439	4427	5635
440	4430	5615
441	4432	5595
442	4435	5576
443	4437	5556
444	4440	5537
445	4442	5518
446	4445	5499
447	4447	5480
448	4450	5461
449	4455	5445
450	4457	5426
451	4460	5407
452	4462	5388
453	4465	5369
454	4467	5351
455	4470	5332
456	4472	5314
457	4475	5296
458	4477	5277
459	4480	5259
460	4482	5241
461	4485	5222
462	4487	5204
463	4490	5186
464	4492	5169
465	4495	5151
466	4497	5133
467	4500	5115
468	4502	5097
469	4505	5080
470	4507	5062
471	4510	5045
472	4512	5028
473	4515	5010
474	4518	4993
475	4520	4976
476	4523	4959
477	4525	4942
478	4528	4925
479	4530	4908
480	4533	4891
481	4535	4874
482	4538	4858
483	4541	4841
484	4543	4824
485	4546	4808
486	4548	4791
487	4551	4775
488	4553	4758
489	4556	4742
490	4558	4725
491	4561	4709
492	4564	4693
493	4566	4677
494	4569	4661
495	4571	4645
496	4574	4629
497	4576	4613
498	4579	4597
499	4582	4582
500	4584	4566
501	4586	4550
502	4589	4534
503	4591	4519
504	4594	4503
505	4597	4488
506	4600	4473
507	4602	4457
508	4605	4442
509	4608	4427
510	4610	4412
511	4613	4397
512	4615	4381
513	4618	4366
514	4621	4351
515	4623	4337
516	4626	4322
517	4629	4307
518	4631	4292
519	4634	4277
520	4636	4263
521	4639	4248
522	4642	4233
523	4644	4219
524	4647	4204
525	4649	4189
526	4652	4175
527	4654	4160
528	4657	4146
529	4659	4132
530	4662	4117
531	4664	4103
532	4666	4088
533	4669	4074
534	4671	4060
535	4674	4046
536	4676	4032
537	4679	4018
538	4681	4004
539	4684	3990
540	4686	3976
541	4689	3962
542	4691	3948
543	4693	3934
544	4698	3922
545	4700	3908
546	4703	3894
547	4705	3881
548	4707	3867
549	4710	3853
550	4712	3840
551	4715	3826
552	4717	3813
553	4719	3799
554	4722	3786
555	4726	3774
556	4728	3760
557	4730	3747
558	4733	3734
559	4735	3721
560	4738	3708
561	4740	3694
562	4743	3681
563	4745	3668
564	4747	3655
565	4750	3642
566	4752	3629
567	4755	3616
568	4758	3604
569	4760	3591
570	4763	3578
571	4765	3565
572	4768	3553
573	4770	3540
574	4772	3527
575	4775	3515
576	4778	3502
577	4780	3490
578	4783	3477
579	4785	3465
580	4788	3453
581	4790	3440
582	4793	3428
583	4795	3416
584	4798	3404
585	4801	3392
586	4803	3379
587	4806	3367
588	4808	3355
589	4811	3343
590	4813	3331
591	4816	3319
592	4818	3307
593	4821	3295
594	4823	3283
595	4826	3271
596	4828	3259
597	4830	3247
598	4833	3235
599	4836	3224
600	4838	3212
601	4841	3200
602	4844	3189
603	4847	3178
604	4851	3167
605	4854	3156
606	4857	3145
607	4861	3134
608	4864	3123
609	4867	3112
610	4869	3100
611	4872	3089
612	4875	3077
613	4877	3066
614	4879	3054
615	4882	3043
616	4884	3032
617	4887	3020
618	4889	3009
619	4891	2998
620	4893	2986
621	4896	2975
622	4898	2964
623	4901	2953
624	4903	2942
625	4906	2931
626	4908	2920
627	4911	2909
628	4913	2898
629	4916	2887
630	4918	2876
631	4921	2865
632	4924	2854
633	4926	2843
634	4929	2833
635	4931	2822
636	4934	2811
637	4936	2801
638	4938	2790
639	4943	2780
640	4945	2770
641	4948	2759
642	4950	2748
643	4953	2738
644	4955	2727
645	4957	2716
646	4960	2706
647	4962	2695
648	4965	2685
649	4967	2674
650	4970	2664
651	4972	2654
652	4975	2643
653	4977	2633
654	4980	2623
655	4982	2612
656	4984	2602
657	4987	2592
658	4990	2582
659	4992	2571
660	4994	2561
661	4997	2551
662	5000	2541
663	5002	2531
664	5005	2521
665	5007	2511
666	5010	2501
667	5012	2491
668	5015	2481
669	5017	2471
670	5020	2461
671	5022	2451
672	5025	2441
673	5027	2431
674	5030	2421
675	5032	2412
676	5034	2402
677	5037	2392
678	5039	2382
679	5042	2372
680	5044	2363
681	5047	2353
682	5049	2343
683	5052	2333
684	5054	2324
685	5057	2314
686	5059	2305
687	5062	2295
688	5064	2286
689	5067	2276
690	5070	2267
691	5072	2257
692	5075	2248
693	5077	2238
694	5080	2229
695	5082	2220
696	5085	2210
697	5087	2201
698	5090	2192
699	5092	2182
700	5095	2173
701	5097	2164
702	5100	2154
703	5102	2145
704	5105	2136
705	5108	2127
706	5110	2118
707	5113	2108
708	5115	2099
709	5118	2090
710	5120	2081
711	5123	2072
712	5125	2063
713	5127	2054
714	5130	2045
715	5133	2036
716	5135	2027
717	5138	2018
718	5140	2009
719	5142	2000
720	5145	1991
721	5147	1982
722	5150	1973
723	5153	1964
724	5155	1955
725	5158	1946
726	5160	1937
727	5162	1928
728	5165	1920
729	5168	1911
730	5171	1903
731	5174	1894
732	5176	1885
733	5179	1876
734	5181	1868
735	5183	1859
736	5186	1850
737	5192	1843
738	5194	1834
739	5197	1826
740	5200	1817
741	5202	1809
742	5205	1800
743	5207	1791
744	5210	1783
745	5212	1774
746	5215	1766
747	5217	1757
748	5220	1749
749	5222	1740
750	5224	1732
751	5227	1723
752	5229	1715
753	5231	1706
754	5234	1698
755	5236	1690
756	5239	1681
757	5241	1673
758	5244	1665
759	5246	1656
760	5249	1648
761	5251	1640
762	5253	1631
763	5256	1623
764	5258	1615
765	5261	1607
766	5263	1598
767	5266	1590
768	5268	1582
769	5271	1574
770	5273	1566
771	5276	1558
772	5278	1550
773	5281	1542
774	5283	1533
775	5286	1525
776	5288	1517
777	5291	1509
778	5293	1501
779	5295	1493
780	5298	1485
781	5300	1477
782	5303	1469
783	5305	1461
784	5308	1453
785	5310	1445
786	5313	1437
787	5315	1430
788	5318	1422
789	5320	1414
790	5323	1406
791	5325	1398
792	5328	1390
793	5330	1383
794	5333	1375
795	5335	1367
796	5337	1359
797	5340	1351
798	5342	1344
799	5345	1336
800	5347	1328
801	5349	1320
802	5352	1313
803	5354	1305
804	5356	1297
805	5359	1289
806	5361	1282
807	5364	1274
808	5366	1267
809	5369	1259
810	5371	1251
811	5374	1244
812	5376	1236
813	5379	1229
814	5381	1221
815	5383	1214
816	5386	1206
817	5388	1198
818	5391	1191
819	5394	1184
820	5396	1176
821	5399	1169
822	5401	1161
823	5404	1154
824	5406	1146
825	5409	1139
826	5412	1132
827	5414	1124
828	5417	1117
829	5419	1110
830	5422	1102
831	5424	1095
832	5427	1088
833	5430	1080
834	5433	1073
835	5435	1066
836	5438	1059
837	5440	1051
838	5442	1044
839	5445	1037
840	5447	1029
841	5450	1022
842	5452	1015
843	5454	1008
844	5457	1001
845	5459	993
846	5462	986
847	5465	979
848	5467	972
849	5470	965
850	5473	958
851	5475	951
852	5478	944
853	5480	937
854	5483	929
855	5485	922
856	5488	915
857	5491	908
858	5493	901
859	5496	894
860	5498	887
861	5501	880
862	5504	873
863	5507	866
864	5509	859
865	5512	852
866	5515	846
867	5517	839
868	5520	832
869	5522	825
870	5525	818
871	5527	811
872	5529	804
873	5532	797
874	5535	790
875	5537	783
876	5540	777
877	5543	770
878	5545	763
879	5548	756
880	5550	749
881	5553	742
882	5555	736
883	5558	729
884	5560	722
885	5563	715
886	5566	709
887	5568	702
888	5571	695
889	5574	688
890	5576	682
891	5579	675
892	5582	668
893	5585	662
894	5587	655
895	5590	648
896	5592	642
897	5595	635
898	5597	628
899	5599	622
900	5602	615
901	5605	608
902	5607	602
903	5610	595
904	5612	589
905	5615	582
906	5617	576
907	5620	569
908	5622	562
909	5624	556
910	5627	549
911	5630	543
912	5632	536
913	5634	530
914	5637	523
915	5640	517
916	5642	510
917	5645	504
918	5647	497
919	5650	491
920	5653	484
921	5657	478
922	5660	472
923	5663	465
924	5666	459
925	5669	453
926	5673	446
927	5677	440
928	5679	434
929	5682	427
930	5684	421
931	5687	414
932	5689	408
933	5691	402
934	5694	395
935	5697	389
936	5701	383
937	5704	377
938	5706	370
939	5709	364
940	5712	358
941	5715	351
942	5717	345
943	5719	339
944	5722	333
945	5725	326
946	5727	320
947	5730	314
948	5732	308
949	5735	301
950	5737	295
951	5740	289
952	5742	283
953	5745	277
954	5747	270
955	5750	264
956	5752	258
957	5755	252
958	5757	246
959	5759	239
960	5762	233
961	5765	227
962	5767	221
963	5770	215
964	5772	209
965	5774	203
966	5777	197
967	5779	191
968	5782	184
969	5785	178
970	5787	172
971	5790	166
972	5793	160
973	5797	154
974	5800	148
975	5802	142
976	5805	136
977	5807	130
978	5810	124
979	5812	118
980	5815	112
981	5818	106
982	5820	100
983	5822	94
984	5825	88
985	5827	82
986	5830	76
987	5832	70
988	5835	64
989	5837	58
990	5840	53
991	5842	47
992	5844	41
993	5846	35
994	5849	29
995	5851	23
996	5854	17
997	5856	11
998	5858	5
999	5861	0
