iter	Logloss
540	0.5766370598
541	0.5764212472
542	0.5762410094
543	0.5761195204
544	0.5759561399
545	0.5757880704
546	0.5756523205
547	0.5755602834
548	0.5754535203
549	0.5753540039
550	0.5752243769
551	0.5751039342
552	0.574913892
553	0.5747178819
554	0.5745504325
555	0.5743350074
556	0.574218285
557	0.5740713356
558	0.5739547294
559	0.5737672061
560	0.5735301959
561	0.5733481755
562	0.5731827799
563	0.573039357
564	0.5729125589
565	0.5727919612
566	0.5726658994
567	0.5724828714
568	0.572312128
569	0.5721710302
570	0.5720522538
571	0.5718739149
572	0.5717711821
573	0.5716984825
574	0.5716153196
575	0.5715306842
576	0.5714049324
577	0.5712859623
578	0.5711447095
579	0.5710312422
580	0.5709088232
581	0.570773112
582	0.5706285652
583	0.5705071537
584	0.5703130425
585	0.5701621404
586	0.5699979849
587	0.5698610336
588	0.5697368707
589	0.5696029421
590	0.5694911024
591	0.5693749225
592	0.5691243102
593	0.569035257
594	0.5688247535
595	0.5686735026
596	0.5685358538
597	0.5684055292
598	0.5682702443
599	0.5681067088
600	0.5679584418
601	0.5678371853
602	0.5676414853
603	0.5674279979
604	0.567233848
605	0.5671185981
606	0.5669592091
607	0.5668857732
608	0.5666775949
609	0.5665342494
610	0.5664030723
611	0.566266276
612	0.5661760603
613	0.5660804967
614	0.5659508309
615	0.5657743521
616	0.565648329
617	0.5654351904
618	0.5652874659
619	0.5651023841
620	0.5650115095
621	0.5648211186
622	0.5647447762
623	0.5645493862
624	0.5644492885
625	0.5642242529
626	0.5641400825
627	0.5640592835
628	0.5639393446
629	0.5637187655
630	0.5635259332
631	0.5633453078
632	0.5632259115
633	0.5630600896
634	0.5629412357
635	0.5627407304
636	0.5626292783
637	0.5624361359
638	0.562320111
639	0.5621792845
640	0.5621042597
641	0.5619536675
642	0.5618769764
643	0.5616677517
644	0.5615621512
645	0.5614833674
646	0.5613766431
647	0.5612554641
648	0.5611418806
649	0.5610575164
650	0.5609178912
651	0.5608265129
652	0.5606600322
653	0.5605579582
654	0.5604014757
655	0.5602590603
656	0.5601338123
657	0.5600341022
658	0.5598533606
659	0.5596807958
660	0.5594883123
661	0.5592466905
662	0.5590533157
663	0.5588405258
664	0.5586249845
665	0.5585201978
666	0.5583714658
667	0.5582178509
668	0.558078187
669	0.5579653785
670	0.5578218781
671	0.5576673332
672	0.5575086031
673	0.5573966859
674	0.5572386533
675	0.5571110026
676	0.5569668434
677	0.5567709108
678	0.5566767423
679	0.5565167721
680	0.5563776894
681	0.5562518214
682	0.5561081659
683	0.5559749349
684	0.5557793511
685	0.5556234887
686	0.5553948878
687	0.5552721199
688	0.5551615203
689	0.5549930246
690	0.5547857763
691	0.5545879836
692	0.5544248357
693	0.5542551773
694	0.5541151259
695	0.5539730205
696	0.5538699777
697	0.5537596106
698	0.553617389
699	0.5535305447
700	0.5534089394
701	0.5532536582
702	0.5531800673
703	0.553030754
704	0.5529392981
705	0.5527732437
706	0.5526326497
707	0.5525160048
708	0.5524267578
709	0.5522968595
710	0.5521957155
711	0.55199273
712	0.5519480872
713	0.5517416915
714	0.5516074529
715	0.5515064639
716	0.5513418434
717	0.5512462023
718	0.5511283947
719	0.5509505208
720	0.5508674355
721	0.5507378085
722	0.5506003922
723	0.5504514664
724	0.550241583
725	0.5501235429
726	0.5499788411
727	0.5498593285
728	0.5497570219
729	0.5496361142
730	0.5495014106
731	0.5494056145
732	0.5492831566
733	0.5491985987
734	0.5490376209
735	0.5488867963
736	0.5487989444
737	0.5486199467
738	0.5485140749
739	0.5484107608
740	0.548292217
741	0.5481763083
742	0.5480831473
743	0.547960767
744	0.5478354415
745	0.5477015129
746	0.5475675068
747	0.5474606275
748	0.5473443313
749	0.5472681439
750	0.5471915303
751	0.5471097625
752	0.755	0.54468753	0.756	0.54452754	0.757	0.54440755	0.758	0.54428756	0.759	0.54422757	0.760	0.54404758	0.761	0.54395759	0.762	0.54383760	0.763	0.54376761	0.764	0.54366762	0.765	0.54353763	0766	0.543429764	767	0.5433300765	768	0.5432413766	769	0.5431669767	770	0.5429835768	771	0.5428102769	772	0.5426925770	773	0.5426264771	774	0.5425351772	775	0.5424052773	776	0.5422209774	777	0.5421241775	778	0.5419838776779	0.54186662777780	0.5416569778781	0.54157970779782	0.5414411678783	0.54133490678784	0.54120392378785	0.54108413978786	0.54098617378787	0.54085743778788	0.54072734578789	0.54059880787790	0.54042306788791	0.5403255789	792	0.5401781790	793	0.5401118791	794	0.5400189792	795	0.539893793	0796	0.539712794	0797	0.539612795	0798	0.539486796	0799	0.539348797	0800	0.539186798	0801	0.539023799	0802	0.538918800	0803	0.538835801	0804	0.538741802	805	0.5385570803	806	0.538444804	807	0.5383325805	808	0.5381532806	809	0.5380935807	810	0.5379330808	811	0.5378534809	812	0.5377389810	813	0.5375809811	814	0.5375227812	815	0.5374321813	816	0.5372347814	817	0.5371275815	818	0.53699816	0.819	0.53687817	0.820	0.5367818	0.5821	0.5366819	0.5822	0.5365820	0.5823	0.5364821	0.5824	0.536822	0.53825	0.536823	0.5378146701
824	0.53827	0.535825	0.5375635541
826	0.537436911
827	0.537830	0.53828	0.5371891276
829	0.537832	0.53830	0.536960333
831	0.5368834	0.5832	0.5367835	0.833	0.5366185361
834	0.53649837	0.835	0.53635838	0.836	0.53619839	0.837	0.53608840	0.838	0.53596841	0.839	0.53572842	0.840	0.53560843	0.841	0.53543844	0.842	0.5352845	0.5843	0.5351846	0.5844	0.5350847	0.5845	0.5349848	0.5846	0.5347849	0.847	0.53463850	0.848	0.53446851	0.849	0.53434852	0.850	0.5342171999
851	0.5340854	0.5852	0.5339855	0.5853	0.5338856	0.5854	0.5336857	0.5855	0.5336020818
856	0.5334543573
857	0.5333376736
858	0.5332180447
859	0.5330524941
860	0.5329421658
861	0.5328365265
862	0.5326874845
863	0.5325410001
864	0.5323688229
865	0.5322625248
866	0.5321452985
867	0.5319621543
868	0.5319013129
869	0.5317445204
870	0.5316767423
871	0.53874	0.530872	0.53875	0.530873	0.53876	0.530874	0.53877	0.53875	0.531878	0.52876	0.530879	0.52877	0.530880	0.52878	0.530881	0.52879	0.530882	0.52880	0.530453559
881	0.5303548177
882	0.5302657645
883	0.530886	0.52884	0.53887	0.528885	0.52888	0.528886	0.5297863576
887	0.529637083
888	0.529488506
889	0.5293625605
890	0.5292128209
891	0.5291255115
892	0.5289434524
893	0.528804951
894	0.5287079923
895	0.5285093471
896	0.528401654
897	0.5282454427
898	0.5281562345
899	0.528051099
900	0.5279443747
901	0.5277906436
902	0.5276888796
903	0.52757797
904	0.5275216239
905	0.5273606461
906	0.5272701203
907	0.5271858724
908	0.527018911	0909	0.526842912	0910	0.5266975524
911	0.5265497117
912	0.5264411272
913	0.5263145229
914	0.5261703249
915	0.5260117885
916	0.5258532521
917	0.52573920	0.918	0.52560921	0.919	0.5255120753
920	0.5253862847
921	0.5252628968
922	0.5251207527
923	0.5250134859
924	0.5249173797
925	0.5247357856
926	0.5245375279
927	0.5243696134
928	0.5242647879
929	0.5241522507
930	0.5240259952
931	0.5238962906
932	0.523773174
933	0.5236591642
934	0.5234802827
935	0.5233289156
936	0.5231939794
937	0.5230977958
938	0.522905816
939	0.5227156188
940	0.5226037016
941	0.5224854291
942	0.522367389
943	0.5222758557
944	0.5221906777
945	0.5220939128
946	0.5219499473
947	0.5218036954
948	0.5217392501
949	0.5215966022
950	0.5214810423
951	0.5213543992
952	0.5212080698
953	0.5210568576
954	0.5209907459
955	0.5208603438
956	0.5207620288
957	0.5205845424
958	0.5204309276
959	0.5203269934
960	0.5202647182
961	0.5201111034
962	0.5199539621
963	0.5198346044
964	0.5197304765
965	0.5195677548
966	0.51947316
967	0.5193303959
968	0.5192138672
969	0.5191207837
970	0.5189576358
971	0.5188654436
972	0.518765191
973	0.5186210705
974	0.5185461232
975	0.5184309896
976	0.5183362785
977	0.518172588
978	0.5180884564
979	0.5179902576
980	0.5179077923
981	0.5177372427
982	0.5176421441
983	0.517543364
984	0.5173897104
985	0.5172796922
986	0.5171931966
987	0.5171179781
988	0.5170384192
989	0.5169783529
990	0.516812996
991	0.5167316933
992	0.5166657366
993	0.516550913
994	0.5164624411
995	0.5163967169
996	0.5162954179
997	0.5162269035
998	0.5161133588
999	0.5160099671
0.5170078047
